id,Name,Ratings,rating,Rating_Description,Reviews,Star_Rating,Location,Nearest_Landmark,Distance_to_Landmark,Price,Tax,Total amt,Amount
67,THE MAUREEN KOLKATA,4,4,Very Good,1441,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"3,188",671,"3,859",3859
68,The Aster Penthouse,4.2,4,Very Good,12,,Ballygunge ,Park Street,960 m ,"1,766",532,"2,298",2298
69,The Firangipani Suites,4,4,Very Good,106,3,New Town,,,"1,980",484,"2,464",2464
70,Celesta,4.1,4,Very Good,1087,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"3,085",842,"3,927",3927
71,HOTEL EASTERN PLAZA,3.3,3,Good,1312,3,Kaikhali ,Netaji Subhash Chandra Bose International Airport,4.1 km ,"1,192",331,"1,523",1523
72,Hotel Aura,3.6,4,Very Good,432,3,New Market Area,,,"2,106",599,"2,705",2705
73,Viceroy Kolkata (Boutique Hotel),3.8,4,Very Good,1077,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.8 km ,"2,562",523,"3,085",3085
74,Beyzaa Hotel & Suites (Brewery Hotel),4.2,4,Very Good,593,4,Salt Lake City,,,"4,589",551,"5,140",5140
75,The CORPORATE,3.4,3,Good,577,3,Park Street ,Park Street,130 m ,"3,086",867,"3,953",3953
76,Hotel Trimoorti,3.6,4,Very Good,1375,3,Bhowanipore,,,"1,488",476,"1,964",1964
77,Bubble Beds,3.9,4,Very Good,376,,Kalighat ,Kalighat Kali Temple,960 m ,597,161,758,758
78,The Opus Kolkata - A Boutique Hotel,3.9,4,Very Good,376,3,Bhowanipore,,,"2,372",485,"2,857",2857
79,Hotel Crest Inn,3.7,4,Very Good,975,,Park Circus,,,"1,260",382,"1,642",1642
80,Golden Parkk,3.6,4,Very Good,219,3,Park Street Area ,Park Street,960 m ,"3,767",770,"4,537",4537
81,Hotel The Crest,3.8,4,Very Good,324,,Park Circus,,,"1,328",384,"1,712",1712
82,Park Victoria Hotel,3.4,3,Good,383,,New Market Area ,Park Street,250 m ,"1,507",308,"1,815",1815
83,The Samilton,4,4,Very Good,777,3,Bhowanipore,,,"3,499",420,"3,919",3919
84,Treebo Trend Orion Sapphire Beck Bagan,3.8,4,Very Good,127,,Park Street ,Park Street,770 m ,"2,540",530,"3,070",3070
85,Eennra Oiitijhyya,4.4,4,Excellent,142,3,Keyatala,,,"1,994",567,"2,561",2561
86,"The Aster Heritage Homestay | Rooms & Caretaker
Like a 3",4.3,4,Excellent,115,,New Market Area ,Park Street,60 m ,"2,452",660,"3,112",3112
87,Basera Guest House,4.1,4,Very Good,635,,Gariahat,,,"1,000",289,"1,289",1289
88,LYNQ-CICO - Hotel,3.8,4,Very Good,634,3,Alipore,,,"2,372",576,"2,948",2948
89,The Lake Hotel,3.7,4,Very Good,396,3,Dhakuria,,,"1,986",528,"2,514",2514
90,"The Aster Heritage Gold
Like a 3",4.4,4,Excellent,17,,New Market Area ,Park Street,50 m ,"4,723","1,320","6,043",6043
91,Treebo Tryst Tahoora International Park Street,3.7,4,Very Good,70,3,Park Street ,Park Street,100 m ,"3,257",680,"3,937",3937
92,Southern Plaza,3.8,4,Very Good,276,3,Kalighat,,,"3,201",674,"3,875",3875
93,DIAMOND PLAZA,3.8,4,Very Good,736,,Bow Bazaar ,College Street,800 m ,"1,850",438,"2,288",2288
94,Lytton Hotel,3.6,4,Very Good,431,3,New Market Area ,Park Street,560 m ,"3,004",711,"3,715",3715
95,"Dorota House | Room & Caretaker
Like a 3",4,4,Very Good,73,,Salt Lake City,,,"1,365",412,"1,777",1777
96,Hotel O2 VIP,3.9,4,Very Good,356,3,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2.0 km ,"2,212",481,"2,693",2693
97,Hotel Gateway Continental,3.8,4,Very Good,600,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.3 km ,"2,800",737,"3,537",3537
98,Hotel Air View,4,4,Very Good,539,,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.8 km ,"1,078",255,"1,333",1333
99,Hotel Casa Fortuna,3.9,4,Very Good,693,3,Park Street Area,,,"3,934",950,"4,884",4884
100,Middleton Inn,3.5,4,Very Good,264,3,Park Street ,Park Street,710 m ,"2,590",545,"3,135",3135
101,Hotel Sawood International,3.6,4,Very Good,687,3,Tangra,,,"2,122",560,"2,682",2682
102,The Park Hyderabad,3.7,4,Very Good,11318,5,Somajiguda,,,"5,699","1,284","6,983",6983
103,ITC Kohenur - A Luxury Collection Hotel,4.3,4,Excellent,2465,5,Hitech City,,,"16,150",0,"16,150",16150
104,Fairfield by Marriott Hyderabad Gachibowli,3.9,4,Very Good,5006,4,Gachibowli,,,"4,004",818,"4,822",4822
105,Radisson Blu Plaza Hotel,4.1,4,Very Good,4632,5,Banjara Hills,,,"7,250",0,"7,250",7250
106,Lemon Tree Hotel Gachibowli,4,4,Very Good,5372,4,Gachibowli,,,"4,183","1,518","5,701",5701
107,Red Fox Hotel Hyderabad,3.9,4,Very Good,4338,3,Hitech City,,,"2,654","1,050","3,704",3704
108,"Lemon Tree Hotel, Banjara Hills, Hyderabad",4.1,4,Very Good,2775,4,Banjara Hills,,,"2,571",933,"3,504",3504
109,"Taj Krishna, Hyderabad",4.5,5,Excellent,1580,5,Banjara Hills,,,"8,000",0,"8,000",8000
110,Novotel Hyderabad Airport,3.9,4,Very Good,1278,5,Near Hyderabad Airport ,Rajiv Gandhi International Airport,3.6 km ,"12,999",0,"12,999",12999
111,Rester Select Kukatpally,4,4,Very Good,263,3,Kukatpally,,,"2,463",674,"3,137",3137
112,The Golkonda Hotel,4.1,4,Very Good,3981,4,Masab Tank,,,"5,499",660,"6,159",6159
113,Trident Hyderabad,4.7,5,Excellent,1517,5,Hitech City,,,"14,250",0,"14,250",14250
114,Ellaa Hotel Gachibowli,3.8,4,Very Good,4341,4,Gachibowli,,,"3,321",678,"3,999",3999
115,Lemon Tree Premier HITEC City Hyderabad,4,4,Very Good,5148,5,Hitech City,,,"3,151","1,246","4,397",4397
116,"Siri Inn Hospitality | Rooms in an Apartment
Like a 3",3.6,4,Very Good,681,,Hitech City,,,"1,287",373,"1,660",1660
117,ibis Hyderabad HITEC City - An Accor Brand,3.8,4,Very Good,1016,3,Hitech City,,,"4,499",0,"4,499",4499
118,Hyatt Place Hyderabad Banjara Hills,4.1,4,Very Good,1695,5,Banjara Hills,,,"7,249",0,"7,249",7249
119,"Vivanta Hyderabad, Begumpet",4.4,4,Excellent,2743,5,Begumpet,,,"6,500",0,"6,500",6500
120,Zen Comfort,4,4,Very Good,300,,Gachibowli,,,"1,438",387,"1,825",1825
121,Hyderabad Marriott Hotel and Convention Centre,4.3,4,Excellent,1240,5,Kavadiguda,,,"6,500",0,"6,500",6500
122,HOTEL SIGNATURE AIRPORT ZONE SHAMSHABAD,4.1,4,Very Good,2343,3,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"2,217",571,"2,788",2788
123,Daspalla Hotel,4.1,4,Very Good,1948,4,Jubilee Hills,,,"5,413","1,386","6,799",6799
124,Hotel OAK by Signature,4.2,4,Very Good,1722,3,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"1,317",346,"1,663",1663
125,Aditya Park Hyderabad - A Sarovar Hotel,4,4,Very Good,2503,4,Ameerpet,,,"6,111","1,248","7,359",7359
126,"Park Hyatt Hotel and Residences, Hyderabad",4.2,4,Very Good,874,5,Sri Nagar Colony,,,"10,000",0,"10,000",10000
127,Marigold By Green Park,4.3,4,Excellent,2477,5,Ameerpet,,,"5,714","1,485","7,199",7199
128,Hotel Hyderabad Grand,3.8,4,Very Good,1599,3,Shamshabad ,Rajiv Gandhi International Airport,7.6 km ,"3,028",756,"3,784",3784
129,Green Park,4.2,4,Very Good,1864,4,Ameerpet,,,"5,122","1,267","6,389",6389
130,The Central Court,3.6,4,Very Good,3819,3,Lakdikapul,,,"2,041",566,"2,607",2607
131,Holiday Inn Express Hyderabad HITEC City,3.5,4,Very Good,1894,3,Hitech City,,,"4,499",0,"4,499",4499
132,Slackpackr Hostel,4.1,4,Very Good,87,,Begumpet,,,849,237,"1,086",1086
133,Holiday Inn Express Hyderabad Banjara Hills,3.5,4,Very Good,2359,3,Punjagutta,,,"4,140",540,"4,680",4680
134,CITADEL Hotel By Vinnca,4.1,4,Very Good,949,3,Gaghan Pahad,,,"2,932",802,"3,734",3734
135,Aditya Hometel Hyderabad - A Sarovar Hotel,3.5,4,Very Good,2234,3,Ameerpet,,,"1,860",380,"2,240",2240
136,Hotel Deccan Serai Grande,4.4,4,Excellent,517,4,Gachibowli,,,"7,014","2,297","9,311",9311
137,Katriya Hotel and Towers,2.8,3,Average,3250,3,Somajiguda,,,"3,761",451,"4,212",4212
138,Hotel Saptagiri Hyderabad,3.8,4,Very Good,2861,3,Shivaji Nagar ,Secunderabad Junction Railway Station ,760 m ,"2,724",614,"3,338",3338
139,Hampshire Plaza Hotel,3.8,4,Very Good,1680,3,Lakdikapul,,,"3,379",891,"4,270",4270
140,"Taj Deccan, Hyderabad",4.4,4,Excellent,2694,5,Banjara Hills,,,"6,990",0,"6,990",6990
141,Avasa Hotel,4.2,4,Very Good,2073,5,Madhapur,,,"6,696","1,368","8,064",8064
142,Hotel Akoya - HITECH City Hyderabad,4.1,4,Very Good,520,3,Hitech City,,,"2,471",681,"3,152",3152
143,MARIGOLD AT NEST,3.8,4,Very Good,93,2,Gachibowli,,,"1,346",307,"1,653",1653
144,HOTEL RAINTR33,3.8,4,Very Good,1012,3,Hitech City,,,"2,011",550,"2,561",2561
145,Urban Nest Luxury Rooms,3.9,4,Very Good,206,,Kokapet,,,"1,046",357,"1,403",1403
146,Novotel Hyderabad Convention Centre,4.2,4,Very Good,2033,5,Hitech City,,,"10,500",0,"10,500",10500
147,Hotel B Plus L,4,4,Very Good,866,4,Hitech City,,,"3,360",795,"4,155",4155
148,La Hometel Hotel - HITECH City Hyderabad,3.9,4,Very Good,236,3,Hitech City,,,"1,435",387,"1,822",1822
149,Le Meridien Hyderabad,4.3,4,Excellent,1059,5,Gachibowli,,,"10,500",0,"10,500",10500
150,"Restel Studio Flats
Like a 3",4.2,4,Very Good,262,,Borabanda,,,"1,801",504,"2,305",2305
151,The Conclave,3.2,3,Good,958,3,Gachibowli,,,"1,613",497,"2,110",2110
152,The Landmark Banjara Hills,4,4,Very Good,613,3,Banjara Hills,,,"1,696",437,"2,133",2133
153,THE CENT,3.3,3,Good,1544,3,Lakdikapul,,,"1,662",389,"2,051",2051
154,Courtyard by Marriott Hyderabad,4.5,5,Excellent,981,4,Kavadiguda,,,"6,000",0,"6,000",6000
155,"The Wilderness Retreat | Rooms & Restaurant
Like a 4",3.9,4,Very Good,220,,Gandipet,,,"7,346","2,197","9,543",9543
156,The Altruist Business Hotel (Hitech),3.7,4,Very Good,1888,4,Shilpa Hills,,,"4,278","1,028","5,306",5306
157,Istay Hotels Hitec,3.7,4,Very Good,1236,3,Kondapur,,,"2,913",613,"3,526",3526
158,Hyatt Hyderabad Gachibowli,4.1,4,Very Good,864,5,Gachibowli,,,"8,750",0,"8,750",8750
159,The Art Boutique Hotel,3.8,4,Very Good,1515,3,Gachibowli,,,"2,197",677,"2,874",2874
160,Hotel Imperial Classic,3.9,4,Very Good,2183,3,Himayat Nagar,,,"1,068",315,"1,383",1383
161,Mercure Hyderabad KCP - An AccorHotels brand,4.2,4,Very Good,773,4,Punjagutta,,,"5,000",0,"5,000",5000
162,Veeraj Suites,4,4,Very Good,435,3,Rai Durg,,,"2,170",599,"2,769",2769
163,Bloom Hotel - Gachibowli,4.1,4,Very Good,181,3,Gachibowli,,,"4,500",0,"4,500",4500
164,Oakwood Residence Kapil Hyderabad,4.5,5,Excellent,957,,Gachibowli,,,"7,500",0,"7,500",7500
165,Aalankrita Resort & Convention,4.1,4,Very Good,3109,4,Secunderabad ,city centre,26.5 km ,"4,484",916,"5,400",5400
166,Minerva Grand- Kondapur,3.9,4,Very Good,1019,3,Kothaguda,,,"4,371",893,"5,264",5264
167,M SQUARE HOTEL,3.9,4,Very Good,263,3,Hitech City,,,"4,395",898,"5,293",5293
168,Sri Sri Suites,3.4,3,Good,152,,Madhapur,,,"1,208",330,"1,538",1538
169,The Manohar,2.7,3,Average,258,3,Begumpet,,,"3,158",645,"3,803",3803
170,The Lime Boutique Suites,4.1,4,Very Good,1434,3,Gachibowli,,,"2,976",608,"3,584",3584
171,Taj Tristar,3.9,4,Very Good,992,3,Secunderabad ,city centre,7.7 km ,"2,271",494,"2,765",2765
172,Minerva Grand - Banjara,4,4,Very Good,1453,3,Banjara Hills,,,"4,464",912,"5,376",5376
173,Sheraton Hyderabad,4.3,4,Excellent,769,5,Gachibowli,,,"1,25,000",0,"1,25,000",125000
174,ITC Kakatiya - A Luxury Collection Hotel,4.2,4,Very Good,1071,5,Begumpet,,,"9,690",0,"9,690",9690
175,Bikanervala Boutique Hotel,4.1,4,Very Good,1037,3,Banjara Hills,,,"3,488",713,"4,201",4201
176,"Taj Club House, Chennai",4.3,4,Excellent,2000,5,Royapettah,,,"6,390",767,"7,157",7157
177,The Park Chennai,3.7,4,Very Good,8366,5,Near US Consulate,,,"7,198","2,167","9,365",9365
178,"Taj Fisherman's Cove Resort & Spa, Chennai",4.3,4,Excellent,1856,5,Covelong ,city centre,36.3 km ,"12,555","2,260","14,815",14815
179,Hotel Savera,4,4,Very Good,7458,4,Mylapore,,,"4,612","1,091","5,703",5703
180,Ibis Chennai OMR - An Accor Brand,4.1,4,Very Good,2545,4,Sholinganallur,,,"3,345",0,"3,345",3345
181,"Taj Coromandel, Chennai",4.5,5,Excellent,784,5,Near US Consulate,,,"11,200",0,"11,200",11200
182,Courtyard by Marriott Chennai,4.2,4,Very Good,1208,4,Mount road,,,"7,500",0,"7,500",7500
183,Radisson Blu Hotel Chennai City Centre,4.3,4,Excellent,3991,5,Egmore,,,"9,443",0,"9,443",9443
184,FIRST INN HOTELS,3.8,4,Very Good,214,,Perungudi,,,"2,907",594,"3,501",3501
185,Ibis Chennai City Centre - An Accor Brand,3.9,4,Very Good,2213,3,Mount road ,Thousand Lights Mosque,540 m ,"5,299",0,"5,299",5299
186,Rohaan Inns - UPAR Ashok Nagar,4.1,4,Very Good,179,,Ashok Nagar ,Chennai Airport,9.4 km ,"1,771",495,"2,266",2266
187,"Vivanta Chennai, IT Expressway",4.4,4,Excellent,1601,5,Sholinganallur,,,"7,360",0,"7,360",7360
188,"Taj Connemara, Chennai",4.5,5,Excellent,1215,5,Chennai,,,"7,600","1,368","8,968",8968
189,Four Points by Sheraton Chennai OMR,4.1,4,Very Good,2314,4,Sholinganallur,,,"5,859","1,197","7,056",7056
190,Ramada Plaza by Wyndham,4.5,5,Excellent,3185,5,Saidapet ,Chennai Airport,7.6 km ,"7,533","2,554","10,087",10087
191,Citadines OMRChennai,4.4,4,Excellent,1714,5,Sholinganallur,,,"11,340",0,"11,340",11340
192,The Leela Palace Chennai,4.5,5,Excellent,1261,5,Raja Annamalai Puram,,,"10,800",0,"10,800",10800
193,"The Raintree, Annasalai",4.4,4,Excellent,2376,5,Mount road,,,"7,299",0,"7,299",7299
194,Hablis,4.2,4,Very Good,4529,4,Mount road ,Chennai Airport,5.9 km ,"5,271","1,124","6,395",6395
195,Novotel Chennai Chamiers Road,4.3,4,Excellent,1002,5,Nandanam,,,"7,391",,"7,391",7391
196,The Residency,4.2,4,Very Good,1714,4,T Nagar,,,"5,336","1,455","6,791",6791
197,The Residency Towers,4.3,4,Excellent,1151,5,T Nagar,,,"6,696","1,826","8,522",8522
198,Novotel Chennai OMR - An Accor Brand,4.3,4,Excellent,1001,5,Sholinganallur,,,"6,134",0,"6,134",6134
199,Hotel Southern Comfort ( Chennai Airport ),3.6,4,Very Good,2962,3,Chennai Airport ,Chennai Airport,1.3 km ,"2,870",757,"3,627",3627
200,Lemon Tree Hotel Chennai,3.6,4,Very Good,3059,4,Saidapet ,Chennai Airport,7.8 km ,"2,487",903,"3,390",3390
201,The Pride Hotel Chennai,3.6,4,Very Good,1911,4,Kilpauk,,,"3,399",408,"3,807",3807
202,"Ginger Chennai, Vadapalani",3.5,4,Very Good,2282,3,Vadapalani,,,"2,699",0,"2,699",2699
203,UPAR Nungambakkam,4.1,4,Very Good,281,,Nungambakkam,,,"2,716",633,"3,349",3349
204,Ginger Chennai,3.5,4,Very Good,2071,3,Tharamani,,,"3,299",0,"3,299",3299
205,Holiday Inn Express Chennai OMR Thoraipakkam,3.5,4,Very Good,2087,4,Thoraipakkam,,,"3,680",480,"4,160",4160
206,Raj Park Chennai,3.6,4,Very Good,1158,4,Teynampet,,,"3,953",935,"4,888",4888
207,"UPAR Uthandi, ECR
Like a 3",3.6,4,Very Good,94,,East Coast Road (ECR),,,"1,317",397,"1,714",1714
208,Hotel Abu Palace,3.4,3,Good,1592,4,Purasawalkam ,Chennai Egmore Railway Station,920 m ,"2,947",789,"3,736",3736
209,Ramada Chennai Egmore,3.9,4,Very Good,4600,4,Egmore,,,"4,557","1,078","5,635",5635
210,Hyatt Regency Chennai,4.1,4,Very Good,1152,5,Teynampet,,,"7,499",0,"7,499",7499
211,"Lemon Tree Hotel, Shimona, Chennai",4,4,Very Good,1288,4,Manapakkam ,Chennai Airport,9.0 km ,"2,819","1,115","3,934",3934
212,Trident Chennai,4.5,5,Excellent,1140,5,Chennai Airport ,Chennai Airport,3.0 km ,"12,750",0,"12,750",12750
213,Holiday Inn Chennai OMR IT Expressway,4.2,4,Very Good,1676,5,Thiruvanmiyur,,,"7,499",0,"7,499",7499
214,Ibis Chennai SIPCOT - An Accor Brand,4,4,Very Good,1479,3,Egatoor ,city centre,31.2 km ,"3,299",0,"3,299",3299
215,The Accord Metropolitan,4.1,4,Very Good,2220,5,T Nagar,,,"6,500","1,957","8,457",8457
216,Park Hyatt Chennai,4.5,5,Excellent,525,5,Guindy ,Chennai Airport,7.8 km ,"9,000",0,"9,000",9000
217,OYO Home Fantasea Uthandi Near Juhu Beach,1.9,2,Poor,7,,Uthandi,,,769,40,809,809
218,Gokulam Park Sabari - Siruseri SIPCOT,4.2,4,Very Good,1271,4,Navallur,,,"5,719","1,244","6,963",6963
219,BOULEVARD BY DESIGN HOTEL,4.1,4,Very Good,821,4,Velachery ,Chennai Airport,8.7 km ,"4,860","1,026","5,886",5886
220,Fairfield by Marriott Chennai OMR,4.2,4,Very Good,983,4,Sholinganallur,,,"4,850",0,"4,850",4850
221,ITC Grand Chola - A Luxury Collection Hotel,4.4,4,Excellent,2603,5,Guindy ,Chennai Airport,7.8 km ,"12,500",0,"12,500",12500
222,The Ambassador Pallava,4,4,Very Good,1926,4,Egmore,,,"8,079","2,432","10,511",10511
223,Le Royal Meridien,3.9,4,Very Good,1968,5,Mount road ,Chennai Airport,5.6 km ,"9,000",0,"9,000",9000
224,"Taj Wellington Mews, Chennai",4.7,5,Excellent,327,5,Tharamani,,,"10,560",0,"10,560",10560
225,Novotel Chennai Sipcot - An Accor Brand,4.3,4,Excellent,855,5,Egatoor ,city centre,31.6 km ,"8,138",,"8,138",8138
226,The Mount Manor,3.4,3,Good,874,3,Chennai Airport ,Chennai Airport,3.8 km ,"2,350",634,"2,984",2984
227,Green Park Chennai,4.2,4,Very Good,1503,5,Vadapalani,,,"6,696","1,368","8,064",8064
228,Mango Hill central Chennai,3.2,3,Good,196,3,T Nagar,,,"3,314",677,"3,991",3991
229,Venture Park,3.5,4,Very Good,1192,3,Thoraipakkam,,,"1,315",339,"1,654",1654
230,Grand Chennai by GRT Hotels,4.5,5,Excellent,1535,5,T Nagar,,,"8,550","1,710","10,260",10260
231,"Season 4 Residences, Nungambakkam",3.7,4,Very Good,101,,Near US Consulate,,,"2,591",620,"3,211",3211
232,Ginger Chennai OMR,4.5,5,Excellent,161,3,Navallur,,,"2,479",0,"2,479",2479
233,Hotel Pandian,3.5,4,Very Good,2322,2,Egmore,,,"1,595",342,"1,937",1937
234,Hilton Chennai,4.3,4,Excellent,811,5,Guindy ,Chennai Airport,8.2 km ,"11,000",0,"11,000",11000
235,FORTEL,3.5,4,Very Good,502,,Egmore,,,"3,118",703,"3,821",3821
236,Royal Park,3.1,3,Good,10,,Near Marina Beach,,,"1,351",407,"1,758",1758
237,Fairfield by Marriott Chennai Mahindra World City,4.2,4,Very Good,442,4,Mahindra World City ,city centre,45.7 km ,"5,533","1,130","6,663",6663
238,Crossway Parklane Airport Hotel,3.2,3,Good,517,3,Meenambakkam ,Chennai Airport,2.9 km ,"2,544",574,"3,118",3118
239,Hotel Ashok Residency,3.7,4,Very Good,559,3,Porur,,,"4,290",933,"5,223",5223
240,Hotel Greens Gate (Near Central station),3.6,4,Very Good,1869,,Poongavanapuram,,,"1,887",498,"2,385",2385
241,HOTEL RANJITH,4,4,Very Good,159,3,Near US Consulate,,,"5,208","1,064","6,272",6272
242,"Welcomhotel by ITC Hotels, GST Road, Chennai",4.2,4,Very Good,510,5,Singaperumal Koil ,city centre,43.6 km ,"7,200",0,"7,200",7200
243,Regenta Central RS Chennai SIPCOT OMR,4.4,4,Excellent,740,4,Egatoor ,city centre,31.6 km ,"3,824",459,"4,283",4283
244,CRESCENT PARK (near US Consulate Chennai),4.1,4,Very Good,284,3,Nungambakkam,,,"2,307",471,"2,778",2778
245,Harrisons,4,4,Very Good,604,3,Nungambakkam,,,"3,906",798,"4,704",4704
246,MGM Beach Resorts (15Kms before Mahabalipuram),3.9,4,Very Good,2900,4,Muttukadu ,city centre,31.8 km ,"25,110","7,812","32,922",32922
247,PARK PLAZA CHENNAI OMR,4,4,Very Good,198,5,Thoraipakkam,,,"4,200",0,"4,200",4200
248,Feathers A Radha Hotel Chennai,4.3,4,Excellent,447,5,Manapakkam ,Chennai Airport,9.7 km ,"8,999",0,"8,999",8999
249,V7 HOTEL,3.2,3,Good,1120,3,Porur,,,"3,667",896,"4,563",4563
250,"Keys Select by Lemon Tree Hotels, Katti-Ma, Chennai",3.7,4,Very Good,400,3,Adyar,,,"2,240",796,"3,036",3036
251,Hostel Gandhi,4.2,4,Very Good,109,,Saidapet ,Chennai Airport,8.0 km ,"1,307",107,"1,414",1414
252,Grand Cascade,3.6,4,Very Good,1402,3,Poongavanapuram ,Chennai Central Railway Station,730 m ,"2,052",502,"2,554",2554
253,Days Hotel Chennai OMR,4.3,4,Excellent,392,4,Kelambakkam ,city centre,35.3 km ,"2,767",565,"3,332",3332
254,PP Residency,4,4,Very Good,421,,Chennai ,city centre,35.0 km ,"2,768",713,"3,481",3481
255,Highnest | Rooms & Caretaker,3.5,4,Very Good,52,,Kattankolatur R.F. ,city centre,40.6 km ,"2,815",633,"3,448",3448
256,Grand Elegant,3.9,4,Very Good,1064,,Poongavanapuram,,,"2,046",418,"2,464",2464
257,Accord Chrome,4.5,5,Excellent,217,,Chromepet ,Chennai Airport,5.4 km ,"6,975","1,425","8,400",8400
258,AVENUE HOTEL -CHENNAI AIRPORT,3.6,4,Very Good,1338,,Pallavaram ,Chennai Airport,3.1 km ,"2,671",546,"3,217",3217
259,La Woods hotel (1Km from us consulate chennai),4,4,Very Good,323,,Mount road,,,"3,360",403,"3,763",3763
260,E Hotel,4.1,4,Very Good,590,4,Royapettah,,,"6,749",810,"7,559",7559
261,Hotel Bakya Slot - Maraimalai Nagar,3.6,4,Very Good,210,3,Maraimalai Nagar ,city centre,37.4 km ,"2,046",484,"2,530",2530
262,Pharos Hotels,4.3,4,Excellent,73,3,Nungambakkam,,,"4,650","1,100","5,750",5750
263,Al Noor Palace,4,4,Very Good,290,,Triplicane ,Marina Beach,1.8 km ,"2,093",428,"2,521",2521
264,JS Five two By twinstar hotel,4,4,Very Good,68,,Raja Annamalai Puram,,,"3,794",976,"4,770",4770
265,HOTEL HALEZ,4.3,4,Excellent,490,,Sholinganallur,,,"3,800",456,"4,256",4256
266,Essentia Premier Hotel,4.1,4,Very Good,63,4,Thoraipakkam,,,"3,989",479,"4,468",4468
267,ILARA Hotel & Spa,4,4,Very Good,785,3,Navallur,,,"2,650",576,"3,226",3226
268,The Centrepoint OMR,3.8,4,Very Good,886,3,Sholinganallur,,,"3,322",723,"4,045",4045
269,"KLASE HOTELS, GUINDY",3.3,3,Good,260,3,Mount road ,Chennai Airport,8.4 km ,"2,914",768,"3,682",3682
270,Just Guest House,4,4,Very Good,745,,Pazhavanthangal ,Chennai Airport,4.0 km ,"3,149",811,"3,960",3960
271,GRAND OLIVER,3.6,4,Very Good,490,,Poongavanapuram,,,"1,243",302,"1,545",1545
272,"Pebbles Serviced Apartments
Like a 3",4.2,4,Very Good,179,,T Nagar,,,"2,349",547,"2,896",2896
273,Mercure Chennai Sriperumbudur - An Accor Brand,4.2,4,Very Good,70,5,Oragadam ,city centre,43.0 km ,"5,900",,"5,900",5900
274,ZAITH RESIDENCY,3.4,3,Good,243,,Thousand Lights,,,"2,355",635,"2,990",2990
275,Mount Kailash Suites,4,4,Very Good,422,3,Mount road ,Chennai Airport,9.2 km ,"2,516",615,"3,131",3131
276,The Mount City near US Consulate,3.6,4,Very Good,395,,Triplicane ,Marina Beach,2.9 km ,"1,748",460,"2,208",2208
277,"Country Inn and Suites by Radisson, Sahibabad",4.2,4,Very Good,15697,5,In Ghaziabad ,Delhi city centre,30.0 km ,"6,249",0,"6,249",6249
278,Radisson Blu Kaushambi Delhi NCR,4,4,Very Good,1826,5,In Ghaziabad ,Delhi city centre,28.0 km ,"5,039",605,"5,644",5644
279,The Ashok,3.8,4,Very Good,5694,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,"6,288",0,"6,288",6288
280,Pride Plaza Hotel Aerocity New Delhi,4,4,Very Good,7275,5,Aerocity ,Indira Gandhi International Airport,4.0 km ,"6,499",780,"7,279",7279
281,"Golden Tulip Vasundhara Hotel & Suites, Delhi NCR",3.9,4,Very Good,2057,4,In Ghaziabad ,Delhi city centre,31.0 km ,"3,386",871,"4,257",4257
282,"Welcomhotel by ITC Hotels, Dwarka, New Delhi",4,4,Very Good,9348,5,Sector 10 Dwarka,,,"6,223",0,"6,223",6223
283,Holiday Inn New Delhi International Airport,4.2,4,Very Good,5734,5,Aerocity ,Indira Gandhi International Airport,3.8 km ,"6,999",0,"6,999",6999
284,Novotel New Delhi International Airport- An Accor hotels brand,4.1,4,Very Good,4534,5,Aerocity ,Indira Gandhi International Airport,4.2 km ,"7,250",0,"7,250",7250
285,The Suryaa New Delhi,4.1,4,Very Good,4314,5,New Friends Colony,,,"5,348","1,092","6,440",6440
286,The Hosteller Delhi | Private Rooms & Dorms,4.3,4,Excellent,795,,New Friends Colony,,,"2,228",503,"2,731",2731
287,The LaLiT New Delhi,4.1,4,Very Good,7908,5,Connaught Place,,,"9,040","2,430","11,470",11470
288,Radisson Blu Plaza Delhi Airport,4.3,4,Excellent,7275,5,Mahipalpur ,Indira Gandhi International Airport,5.2 km ,"4,500",765,"5,265",5265
289,Roseate House New Delhi,4.4,4,Excellent,9130,5,Aerocity ,Indira Gandhi International Airport,3.5 km ,"9,649","1,737","11,386",11386
290,Lemon Tree Hotel East Delhi Mall Kaushambi,3.9,4,Very Good,1550,4,In Ghaziabad ,Delhi city centre,24.0 km ,"2,073",752,"2,825",2825
291,YWCA OF DELHI BLUE TRIANGLE FAMILY HOSTEL,3.9,4,Very Good,505,,Connaught Place ,Metro Museum,690 m ,"2,620",770,"3,390",3390
292,Hotel Trans International,4.2,4,Very Good,6933,4,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,274",465,"2,739",2739
293,The Leela Ambience Convention Hotel Delhi,4.4,4,Excellent,3845,5,East Delhi,,,"7,499",0,"7,499",7499
