id,Name,Ratings,rating,Rating_Description,Reviews,Star_Rating,Location,Nearest_Landmark,Distance_to_Landmark,Price,Tax,Total amt,Amount
510,"Zostel Mumbai
Like a 3",4,4,Very Good,738,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"1,342",285,"1,627",1627
511,"President, Mumbai - IHCL SeleQtions",4.4,4,Excellent,2510,5,South Mumbai ,Queen's Necklace - Marine Drive,2.4 km ,"10,400",0,"10,400",10400
512,Novotel Mumbai Juhu Beach,3.6,4,Very Good,2306,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"8,500",0,"8,500",8500
513,Ibis Mumbai Airport - An Accor Brand,3.6,4,Very Good,1990,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,680 m ,"6,499",0,"6,499",6499
514,"Ginger Mumbai, Andheri (MIDC)",3.4,3,Good,2721,3,Jogeshwari East ,T2 - Chhatrapati Shivaji International Airport,5.3 km ,"2,624",0,"2,624",2624
515,Lakeside Chalet Marriott Executive Apartments,4.1,4,Very Good,362,,Powai ,T2 - Chhatrapati Shivaji International Airport,6.5 km ,"9,000",0,"9,000",9000
516,"Lemon Tree Hotel, Kalina, Mumbai",3.3,3,Good,324,4,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,6.7 km ,"4,975","1,806","6,781",6781
517,Ramee Guestline Hotel Juhu,3.6,4,Very Good,3162,4,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.7 km ,"5,275","1,430","6,705",6705
518,Ramee Techome,4,4,Very Good,1173,4,Khar West ,T1 - Chhatrapati Shivaji International Airport,5.2 km ,"6,231","1,273","7,504",7504
519,Shabana,3.5,4,Very Good,216,,Colaba ,Gateway Of India Mumbai,1.1 km ,"1,304",355,"1,659",1659
520,Hotel Bawa International,4,4,Very Good,1817,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,810 m ,"5,000",0,"5,000",5000
521,"Ginger Mumbai, Goregaon",3.8,4,Very Good,478,4,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.5 km ,"3,224",0,"3,224",3224
522,Grand Hyatt Mumbai,4.3,4,Excellent,1855,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,"10,000",0,"10,000",10000
523,Hotel Marine Plaza,4.2,4,Very Good,1292,5,Churchgate ,Queen's Necklace - Marine Drive,270 m ,"9,449","1,701","11,150",11150
524,"Lemon Tree Premier, Mumbai International Airport, Mumbai",4.2,4,Very Good,5001,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"3,566","1,294","4,860",4860
525,Hotel Airport International,3.7,4,Very Good,3139,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,780 m ,"3,255",770,"4,025",4025
526,Dragonfly Hotel - The Art Hotel,3.5,4,Very Good,906,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,"3,035",935,"3,970",3970
527,Four Seasons Hotel Mumbai,4.4,4,Excellent,1863,5,South Mumbai,,,"49,000",,"49,000",49000
528,Gateway Inn | Rooms in an Apartment,3.2,3,Good,356,,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"1,839",495,"2,334",2334
529,"The Oberoi, Mumbai",4.7,5,Excellent,876,5,Marine Drive ,Queen's Necklace - Marine Drive,420 m ,"16,750",,"16,750",16750
530,Hotel Jyoti Dwelling,4.2,4,Very Good,1539,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,"2,232",456,"2,688",2688
531,Indie Stays,3.9,4,Very Good,1406,3,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"6,975","1,425","8,400",8400
532,Meluha - The Fern,4.4,4,Excellent,2189,5,Powai ,T2 - Chhatrapati Shivaji International Airport,7.2 km ,"7,109","1,911","9,020",9020
